XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.98692300,40.73423200,143593,561,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,474,5 Ave & E 29 St,40.745168,-73.986831,17507,Subscriber,1984,2
-74.00176802,40.75066386,143604,191,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,494,W 26 St & 8 Ave,40.747348,-73.997236,15169,Subscriber,1992,2
-73.99098507,40.75756990,143619,496,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,440,E 45 St & 3 Ave,40.752554,-73.972826,16038,Subscriber,1977,1
-73.99160000,40.74915600,143623,431,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,497,E 17 St & Broadway,40.737050,-73.990093,19366,Subscriber,1991,1
-73.99160000,40.74915600,143632,321,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,489,10 Ave & W 28 St,40.750664,-74.001768,17416,Subscriber,1983,1
-74.00277668,40.76087502,143676,770,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,212,W 16 St & The High Line,40.743349,-74.006818,16016,Subscriber,1979,1
-74.00176802,40.75066386,143682,604,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,493,W 45 St & 6 Ave,40.756800,-73.982912,14956,Subscriber,1991,1
-74.01658354,40.71533790,143683,591,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,534,Water - Whitehall Plaza,40.702551,-74.012723,16536,Subscriber,1972,1
-73.99160000,40.74915600,143684,591,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,497,E 17 St & Broadway,40.737050,-73.990093,18556,Subscriber,1952,1
-73.97793172,40.72082834,143702,1283,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,472,E 32 St & Park Ave,40.745712,-73.981948,18674,Subscriber,1990,2
-73.97668709,40.72228087,143713,588,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,312,Allen St & E Houston St,40.722055,-73.989111,21500,Subscriber,1983,1
-74.01658354,40.71533790,143725,358,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,195,Liberty St & Broadway,40.709056,-74.010434,16172,Subscriber,1975,1
-73.97668709,40.72228087,143733,211,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,341,Stanton St & Mangin St,40.717821,-73.976289,20305,Subscriber,1961,2
-73.99098507,40.75756990,143741,743,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,491,E 24 St & Park Ave S,40.740964,-73.986022,15432,Subscriber,1962,1
