XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.98068914,40.69839895,174553,317,NULL,NULL,144,Nassau St & Navy St,40.698399,-73.980689,419,Carlton Ave & Park Ave,40.695807,-73.973556,21517,Subscriber,1991,2
-73.98912867,40.68926942,174666,315,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,274,Lafayette Ave & Fort Greene Pl,40.686919,-73.976682,15164,Subscriber,1986,1
-73.96023854,40.68900443,174735,210,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,344,Monroe St & Bedford Ave,40.685144,-73.953809,19506,Subscriber,1972,1
-73.98362464,40.69474881,174822,1085,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,491,E 24 St & Park Ave S,40.740964,-73.986022,19995,Subscriber,1976,1
-73.96023854,40.68900443,175057,444,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,16125,Subscriber,1982,1
-73.98068914,40.69839895,175386,836,NULL,NULL,144,Nassau St & Navy St,40.698399,-73.980689,412,Forsyth St & Canal St,40.715815,-73.994224,15325,Subscriber,1973,1
-73.96563307,40.68650065,175403,576,NULL,NULL,275,Washington Ave & Greene Ave,40.686501,-73.965633,144,Nassau St & Navy St,40.698399,-73.980689,15802,Subscriber,1979,2
-73.96563307,40.68650065,175448,518,NULL,NULL,275,Washington Ave & Greene Ave,40.686501,-73.965633,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,15420,Subscriber,1958,1
-73.98912867,40.68926942,175608,2032,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,448,W 37 St & 10 Ave,40.756604,-73.997901,19059,Subscriber,1980,1
-73.98362464,40.69474881,175730,440,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,416,Cumberland St & Lafayette Ave,40.687534,-73.972652,18295,Subscriber,1980,1
-73.98912867,40.68926942,175787,1036,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,360,William St & Pine St,40.707179,-74.008873,15232,Subscriber,1969,1
-73.96986848,40.69794000,175857,316,NULL,NULL,343,Clinton Ave & Flushing Ave,40.697940,-73.969868,2005,Railroad Ave & Kay Ave,40.705312,-73.971001,20925,Subscriber,1969,1
-73.98362464,40.69474881,175912,314,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,233,Joralemon St & Adams St,40.692463,-73.989639,21230,Subscriber,1978,1
-73.97703874,40.69327018,175946,1653,NULL,NULL,245,Myrtle Ave & St Edwards St,40.693270,-73.977039,285,Broadway & E 14 St,40.734546,-73.990741,21080,Subscriber,1965,2
-73.96834101,40.70827295,176023,2224,NULL,NULL,282,Kent Ave & S 11 St,40.708273,-73.968341,455,1 Ave & E 44 St,40.750020,-73.969053,16834,Subscriber,1967,1
-73.99548059,40.70037867,176158,1704,NULL,NULL,216,Columbia Heights & Cranberry St,40.700379,-73.995481,476,E 31 St & 3 Ave,40.743943,-73.979661,17387,Subscriber,1962,1
-73.96476280,40.68851534,176215,341,NULL,NULL,399,Lafayette Ave & St James Pl,40.688515,-73.964763,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,20577,Subscriber,1979,1
-73.96596410,40.68317813,176228,598,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,395,Bond St & Schermerhorn St,40.688070,-73.984106,20255,Subscriber,1954,2
-73.95381995,40.69331716,176269,2515,NULL,NULL,373,Willoughby Ave & Walworth St,40.693317,-73.953820,402,Broadway & E 22 St,40.740343,-73.989551,18213,Subscriber,1982,1
-73.96024116,40.71534825,176593,155,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,471,Grand St & Havemeyer St,40.712868,-73.956981,17123,Subscriber,1982,2
